Burgers,Restaurant,Calories,Salt,Sugar,Fat,Saturated Fat,Layers,Main Ingredients,Cheese
Fillet Burger,KFC,475,2.02,5.5,19.3,2.3,Single,Chicken,No
Fillet Tower Burger,KFC,620,3.39,10.2,28.0,4.6,Double,"Chicken, Bacon",Yes
Zinger® Burger,KFC,450,1.97,5.4,18.8,2.1,Single,Chicken,No
Zinger® Tower Burger,KFC,595,3.22,8.9,27.6,4.5,Double,"Chicken, Bacon",Yes
Mini Fillet Burger,KFC,290,1.35,3.2,10.7,1.4,Single,Chicken,No
The Daddy Burger,KFC,685,4.07,9.4,33.4,6.2,Triple,"Chicken, Vegetable, Bacon",Yes
Bacon and Cheese Burger,KFC,585,3.51,9.6,26.4,5.8,Double,"Chicken, Bacon",Yes
Zinger Stacker,KFC,780,4.29,12.0,37.7,7.3,Double,"Chicken, Chicken",Yes
The New York Stack,McDonalds,780,3.5,11.0,46.0,17.0,Triple,"Bacon, Beef, Beef",Yes
The Mississippi Stack,McDonalds,654,2.4,13.0,34.0,15.0,Triple,"Bacon, Beef, Beef",Yes
The South Carolina Stack,McDonalds,667,2.8,12.0,35.0,16.0,Triple,"Bacon, Beef, Beef",Yes
The Kansas City Stack,McDonalds,698,3.3,12.0,38.0,18.0,Triple,"Bacon, Beef, Beef",Yes
The Nashville Chicken,McDonalds,681,3.9,14.0,34.0,7.7,Single,Chicken,Yes
The Alabama Chicken,McDonalds,647,3.1,6.8,32.0,7.1,Double,"Bacon, Chicken",Yes
The Signature Collection: The Classic,McDonalds,698,2.4,10.0,37.0,16.0,Double,"Beef, Bacon",Yes
The Signature Collection: The BBQ,McDonalds,782,2.4,14.0,44.0,17.0,Double,"Beef, Bacon",Yes
The Signature Collection: The Spicy,McDonalds,635,2.7,12.0,32.0,14.0,Single,Beef,Yes
Big Mac®,McDonalds,508,2.3,9.0,25.0,9.5,Double,"Beef, Beef",Yes
Quarter Pounder™ with Cheese,McDonalds,518,2.5,10.0,27.0,13.0,Single,Beef,Yes
Double Cheeseburger,McDonalds,445,2.4,8.1,23.0,12.0,Double,"Beef, Beef",Yes
Bacon Double Cheeseburger,McDonalds,495,2.7,8.1,27.0,13.0,Triple,"Bacon, Beef, Beef",Yes
Cheeseburger,McDonalds,301,1.6,7.3,12.0,6.0,Single,Beef,Yes
Hamburger,McDonalds,250,1.2,6.6,8.3,3.3,Single,Beef,No
Chicken Legend® with Cool Mayo,McDonalds,529,1.8,4.5,21.0,2.5,Single,Chicken,No
Chicken Legend® with BBQ Sauce,McDonalds,484,1.6,8.4,14.0,1.6,Single,Chicken,No
Chicken Legend® with Hot & Spicy Mayo,McDonalds,519,1.8,4.5,20.0,2.1,Single,Chicken,No
McChicken Sandwich®,McDonalds,388,1.4,7.1,16.0,1.8,Single,Chicken,No
Mayo Chicken,McDonalds,319,1.1,4.6,13.0,1.6,Single,Chicken,No
Filet-o-Fish®,McDonalds,329,1.3,5.4,13.0,2.6,Single,Fish,Yes
Vegetable Deluxe,McDonalds,380,1.5,7.8,14.0,1.4,Single,Vegetable,No
Smoky Black Angus,Burger King,652,1.0,16.0,32.0,14.0,Double,"Beef, Bacon",Yes
WHOPPER® Sandwich,Burger King,540,2.5,12.0,22.0,8.0,Single,Beef,No
Bacon Double XL,Burger King,930,3.28,10.0,52.0,24.0,Triple,"Bacon, Beef, Beef",Yes
Texas BBQ King,Burger King,1130,3.9,17.0,74.0,27.0,Quadruple,"Bacon, Beef, Beef, Vegetable",Yes
Double WHOPPER® Sandwich,Burger King,870,2.3,12.0,50.0,16.0,Double,"Beef, Beef",No
Bacon King™,Burger King,1040,4.97,14.0,59.0,26.0,Triple,"Bacon, Beef, Beef",Yes
Western BBQ Bacon,Burger King,740,3.18,18.0,36.0,16.0,Double,"Beef, Bacon",Yes
Big King XL,Burger King,1010,4.78,13.0,60.0,23.0,Double,"Beef, Beef",Yes
Long Big King,Burger King,620,3.25,12.0,33.0,11.0,Double,"Beef, Beef",Yes
Long Texas BBQ,Burger King,540,2.08,9.0,24.0,9.0,Triple,"Beef, Beef, Vegetable",Yes
Double Cheeseburger,Burger King,440,2.45,7.0,22.0,10.0,Double,"Beef, Beef",Yes
Cheeseburger,Burger King,300,1.8,7.0,13.0,5.0,Single,Beef,Yes
Bacon Double Cheeseburger,Burger King,470,2.25,5.0,25.0,11.0,Triple,"Bacon, Beef, Beef",Yes
Hamburger,Burger King,260,1.23,6.0,9.0,3.5,Single,Beef,No
WHOPPER JR.® Sandwich,Burger King,320,1.35,7.0,16.0,3.5,Single,Beef,No
Kids Cheeseburger,Burger King,300,1.43,7.0,12.0,5.0,Single,Beef,Yes
Kids Hamburger,Burger King,250,0.85,6.0,9.0,3.5,Single,Beef,No
Texas BBQ Crispy Chicken,Burger King,830,4.95,13.0,43.0,9.0,Triple,"Bacon, Chicken, Vegetable",Yes
Crispy Chicken,Burger King,500,2.65,7.0,20.0,2.5,Single,Chicken,No
Crispy Chicken Bacon King™,Burger King,700,4.8,9.0,34.0,9.0,Double,"Bacon, Chicken",Yes
Bacon Cheese Chicken Royale,Burger King,720,4.47,9.0,42.0,9.0,Double,"Bacon, Chicken",Yes
Chicken Royale,Burger King,440,3.2,7.0,16.0,3.0,Single,Chicken,No
Chicken Sandwich,Burger King,390,1.8,5.0,21.0,4.5,Single,Chicken,No
King Fish,Burger King,430,2.08,7.0,20.0,3.0,Single,Fish,No
Veggie Bean Burger,Burger King,660,3.58,14.0,31.0,6.0,Double,"Vegetable, Vegetable",Yes
Kids Veggie Burger,Burger King,330,1.68,7.0,12.0,2.5,Single,Vegetable,No
